instance,n,f,regime,seed,pricing,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n014_f04_moderate_s3,14,4,moderate,3,ip,lp_optimal,10,40,476,56,420,0,1,0.0000,1,18.250200,0.009300,18.218900,1197.476360,1213.928254,2
lrsp_n014_f04_tight_s1,14,4,tight,1,ip,lp_optimal,7,28,258,56,202,0,1,0.0000,1,0.389300,0.005500,0.344000,1783.636416,1836.886150,3
lrsp_n014_f04_tight_s2,14,4,tight,2,ip,lp_optimal,8,32,367,56,311,0,1,0.0000,1,1.673700,0.005700,1.607200,1765.226410,1834.433381,3
lrsp_n014_f04_tight_s3,14,4,tight,3,ip,lp_optimal,6,24,287,56,231,0,1,0.0000,1,0.543700,0.003900,0.223300,1606.931800,1702.311078,3
lrsp_n015_f05_moderate_s1,15,5,moderate,1,ip,lp_optimal,9,45,497,75,422,0,1,0.0000,1,22.386300,0.011000,22.335300,1512.285319,1527.999118,3
lrsp_n015_f05_moderate_s3,15,5,moderate,3,ip,lp_optimal,9,45,550,75,475,0,1,0.0000,1,30.267600,0.017100,29.953900,1404.397511,1459.490517,3
lrsp_n015_f05_tight_s1,15,5,tight,1,ip,lp_optimal,7,35,309,68,241,0,1,0.0000,1,0.264600,0.007500,0.212600,2019.543160,2068.470420,4
lrsp_n015_f05_tight_s2,15,5,tight,2,ip,lp_optimal,7,35,333,75,258,0,1,0.0000,1,2.603700,0.009400,2.138700,1579.341737,1644.692080,4
lrsp_n015_f05_tight_s3,15,5,tight,3,ip,lp_optimal,5,25,248,74,174,0,1,0.0000,1,0.343700,0.008400,0.326500,1778.325617,1778.325617,4
lrsp_n016_f05_moderate_s1,16,5,moderate,1,ip,time_limit,2,10,240,80,160,0,1,0.0000,0,34.626100,0.005500,34.554900,2146.138428,2278.793359,3
lrsp_n016_f05_moderate_s3,16,5,moderate,3,ip,time_limit,7,35,493,80,413,0,1,0.0000,0,31.723800,0.044300,30.958200,1250.722646,1322.325585,3
lrsp_n016_f05_tight_s1,16,5,tight,1,ip,lp_optimal,9,45,474,80,394,0,1,0.0000,1,3.241500,0.010900,2.815700,2446.377086,2548.336117,4
lrsp_n016_f05_tight_s2,16,5,tight,2,ip,lp_optimal,7,35,345,71,274,0,1,0.0000,1,1.111700,0.012100,0.682900,1859.655665,1972.181610,4
lrsp_n016_f05_tight_s3,16,5,tight,3,ip,lp_optimal,6,30,278,71,207,0,1,0.0000,1,0.671500,0.009400,0.353400,1584.498424,1628.674172,4
lrsp_n017_f05_moderate_s1,17,5,moderate,1,ip,time_limit,7,35,500,85,415,0,1,0.0000,0,32.923400,0.013600,32.871700,1434.144632,1441.447486,3
lrsp_n017_f05_moderate_s3,17,5,moderate,3,ip,time_limit,1,5,165,85,80,0,1,0.0000,0,30.044300,0.005000,30.005900,1658.397956,1675.182153,3
lrsp_n017_f05_tight_s1,17,5,tight,1,dp,lp_optimal,6,30,306,68,238,0,1,0.0000,1,0.205300,0.009900,0.166400,1860.224440,1872.976524,4
lrsp_n017_f05_tight_s1,17,5,tight,1,ip,lp_optimal,6,30,306,68,238,0,1,0.0000,1,0.210200,0.010000,0.167800,1860.224440,1872.976524,4
lrsp_n017_f05_tight_s2,17,5,tight,2,ip,lp_optimal,7,35,333,74,259,0,1,0.0000,1,0.836700,0.009700,0.516200,1601.308408,1683.271611,4
lrsp_n017_f05_tight_s3,17,5,tight,3,ip,lp_optimal,7,35,355,82,273,0,1,0.0000,1,0.888600,0.008500,0.809400,1758.178676,1773.946003,4
lrsp_n018_f06_moderate_s1,18,6,moderate,1,ip,lp_optimal,9,54,598,105,493,0,1,0.0000,1,34.638800,0.020300,30.183100,1358.002022,1513.180477,3
lrsp_n018_f06_moderate_s3,18,6,moderate,3,ip,lp_optimal,10,60,647,101,546,0,1,0.0000,1,26.196000,0.021700,18.202300,1233.222670,1436.237433,4
lrsp_n018_f06_tight_s1,18,6,tight,1,dp,lp_optimal,7,42,328,81,247,0,1,0.0000,1,0.310700,0.007500,0.156400,1854.385528,1884.927114,5
lrsp_n018_f06_tight_s1,18,6,tight,1,ip,lp_optimal,7,42,328,81,247,0,1,0.0000,1,0.300200,0.007600,0.152900,1854.385528,1884.927114,5
lrsp_n018_f06_tight_s2,18,6,tight,2,ip,lp_optimal,8,48,508,104,404,0,1,0.0000,1,2.006700,0.010600,1.706900,1734.793421,1805.324684,5
