instance,n,f,regime,seed,pricing,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n007_f02_moderate_s3,7,2,moderate,3,dp,lp_optimal,5,10,110,14,96,0,1,0.0000,1,4.522600,0.005000,4.507900,1090.605556,1138.916863,1
lrsp_n007_f02_moderate_s3,7,2,moderate,3,ip,lp_optimal,5,10,110,14,96,0,1,0.0000,1,0.092000,0.004100,0.079200,1090.605556,1138.916863,1
lrsp_n007_f02_tight_s1,7,2,tight,1,dp,lp_optimal,5,10,82,14,68,0,1,0.0000,1,0.242100,0.003900,0.234600,1207.368395,1207.368395,2
lrsp_n007_f02_tight_s1,7,2,tight,1,ip,lp_optimal,5,10,82,14,68,0,1,0.0000,1,0.021800,0.003900,0.015100,1207.368395,1207.368395,2
lrsp_n007_f02_tight_s2,7,2,tight,2,dp,lp_optimal,5,10,73,14,59,0,1,0.0000,1,0.637500,0.004100,0.629400,1271.649258,1280.941849,2
lrsp_n007_f02_tight_s2,7,2,tight,2,ip,lp_optimal,5,10,73,14,59,0,1,0.0000,1,0.023800,0.003900,0.016400,1271.649258,1280.941849,2
lrsp_n007_f02_tight_s3,7,2,tight,3,dp,lp_optimal,4,8,60,14,46,0,1,0.0000,1,0.288100,0.003500,0.281500,1775.047301,1775.047301,2
lrsp_n007_f02_tight_s3,7,2,tight,3,ip,lp_optimal,4,8,60,14,46,0,1,0.0000,1,0.021400,0.003500,0.015400,1775.047301,1775.047301,2
lrsp_n008_f02_easy_s1,8,2,easy,1,ip,lp_optimal,8,16,133,16,115,2,2,2.0000,1,1.272200,0.005700,1.257700,903.457946,943.297575,1
lrsp_n008_f02_easy_s2,8,2,easy,2,dp,lp_optimal,6,12,157,16,139,2,2,2.0000,1,475.873100,0.008800,475.854600,754.999626,778.943466,1
lrsp_n008_f02_easy_s2,8,2,easy,2,ip,lp_optimal,6,12,157,16,139,2,2,2.0000,1,1.422000,0.005500,1.406300,754.999626,778.943466,1
lrsp_n008_f02_easy_s3,8,2,easy,3,dp,lp_optimal,8,16,173,16,155,2,2,2.0000,1,487.783500,0.006800,487.769300,807.954734,807.954734,1
lrsp_n008_f02_easy_s3,8,2,easy,3,ip,lp_optimal,8,16,173,16,155,2,2,2.0000,1,1.103300,0.006100,1.091500,807.954734,807.954734,1
lrsp_n008_f02_moderate_s1,8,2,moderate,1,dp,lp_optimal,7,14,151,16,133,2,3,3.0000,1,267.363200,0.008600,267.349500,1047.109269,1047.109269,1
lrsp_n008_f02_moderate_s1,8,2,moderate,1,ip,lp_optimal,8,16,146,16,129,1,3,3.0000,1,0.180200,0.005100,0.170700,1047.109269,1047.109269,1
lrsp_n008_f02_moderate_s2,8,2,moderate,2,dp,lp_optimal,7,14,145,16,129,0,1,0.0000,1,368.632500,0.006000,368.621400,832.041328,832.041328,1
lrsp_n008_f02_moderate_s2,8,2,moderate,2,ip,lp_optimal,7,14,145,16,129,0,1,0.0000,1,0.367500,0.005300,0.356800,832.041328,832.041328,1
lrsp_n008_f02_moderate_s3,8,2,moderate,3,dp,lp_optimal,6,12,140,16,124,0,1,0.0000,1,206.330500,0.006400,206.316400,914.000707,955.703586,1
lrsp_n008_f02_moderate_s3,8,2,moderate,3,ip,lp_optimal,6,12,140,16,124,0,1,0.0000,1,0.152500,0.004700,0.141300,914.000707,955.703586,1
lrsp_n008_f02_tight_s1,8,2,tight,1,dp,lp_optimal,6,12,88,16,72,0,1,0.0000,1,6.149400,0.004600,6.140600,1649.515591,1650.541539,2
lrsp_n008_f02_tight_s1,8,2,tight,1,ip,lp_optimal,6,12,88,16,72,0,1,0.0000,1,0.030800,0.005300,0.021900,1649.515591,1650.541539,2
lrsp_n008_f02_tight_s2,8,2,tight,2,dp,lp_optimal,5,10,97,16,81,0,1,0.0000,1,15.935400,0.004500,15.926700,1274.684591,1274.684591,2
lrsp_n008_f02_tight_s2,8,2,tight,2,ip,lp_optimal,5,10,97,16,81,0,1,0.0000,1,0.033200,0.004300,0.025700,1274.684591,1274.684591,2
lrsp_n008_f02_tight_s3,8,2,tight,3,dp,lp_optimal,5,10,76,16,60,0,1,0.0000,1,8.358700,0.004200,8.349200,1422.824244,1446.494172,2
lrsp_n008_f02_tight_s3,8,2,tight,3,ip,lp_optimal,5,10,76,16,60,0,1,0.0000,1,0.023100,0.003600,0.014700,1422.824244,1446.494172,2
lrsp_n009_f03_easy_s1,9,3,easy,1,ip,lp_optimal,11,33,340,27,310,3,2,2.0000,1,4.451600,0.009800,4.431000,657.158292,657.158292,1
lrsp_n009_f03_easy_s2,9,3,easy,2,ip,lp_optimal,10,30,302,27,272,3,2,2.0000,1,10.383500,0.008600,10.350700,646.755153,680.907332,1
lrsp_n009_f03_easy_s3,9,3,easy,3,ip,lp_optimal,10,30,301,27,271,3,2,2.0000,1,4.981400,0.009200,4.953900,752.900704,765.495990,1
lrsp_n009_f03_moderate_s1,9,3,moderate,1,ip,lp_optimal,7,21,182,27,155,0,1,0.0000,1,0.342500,0.005500,0.331000,984.274907,989.589767,2
lrsp_n009_f03_moderate_s2,9,3,moderate,2,ip,lp_optimal,6,18,197,27,170,0,1,0.0000,1,0.742600,0.005200,0.729800,972.727933,1001.357593,2
lrsp_n009_f03_moderate_s3,9,3,moderate,3,ip,lp_optimal,6,18,192,27,165,0,1,0.0000,1,0.413000,0.005000,0.278900,1139.495361,1200.491571,2
lrsp_n009_f03_tight_s1,9,3,tight,1,dp,lp_optimal,4,12,106,27,79,0,1,0.0000,1,31.878900,0.004200,31.869800,1359.215127,1366.730211,3
lrsp_n009_f03_tight_s1,9,3,tight,1,ip,lp_optimal,4,12,106,27,79,0,1,0.0000,1,0.031000,0.004100,0.022600,1359.215127,1366.730211,3
lrsp_n009_f03_tight_s2,9,3,tight,2,dp,lp_optimal,4,12,111,26,85,0,1,0.0000,1,131.108300,0.004700,131.098800,1359.582735,1369.282981,3
lrsp_n009_f03_tight_s2,9,3,tight,2,ip,lp_optimal,4,12,111,26,85,0,1,0.0000,1,0.038900,0.006300,0.028600,1359.582735,1369.282981,3
lrsp_n009_f03_tight_s3,9,3,tight,3,dp,lp_optimal,4,12,93,27,66,0,1,0.0000,1,214.080800,0.004200,214.069800,1512.148786,1517.968289,3
lrsp_n009_f03_tight_s3,9,3,tight,3,ip,lp_optimal,4,12,93,27,66,0,1,0.0000,1,0.031000,0.003700,0.021400,1512.148786,1517.968289,3
lrsp_n010_f03_easy_s1,10,3,easy,1,ip,lp_optimal,11,33,365,30,332,3,2,2.0000,1,14.882500,0.007200,14.866200,719.199554,719.199554,1
lrsp_n010_f03_easy_s2,10,3,easy,2,ip,lp_optimal,12,36,418,30,385,3,2,2.0000,1,34.563700,0.010800,34.535500,852.613272,899.512180,1
lrsp_n010_f03_easy_s3,10,3,easy,3,ip,lp_optimal,10,30,302,30,269,3,2,2.0000,1,9.511000,0.006100,9.498700,815.121385,815.121385,1
lrsp_n010_f03_moderate_s1,10,3,moderate,1,ip,lp_optimal,8,24,254,30,223,1,3,3.0000,1,0.616400,0.003900,0.608200,1140.010978,1149.825276,2
lrsp_n010_f03_moderate_s2,10,3,moderate,2,ip,lp_optimal,8,24,289,30,259,0,1,0.0000,1,3.071000,0.005000,3.020800,1397.602617,1442.861816,2
lrsp_n010_f03_moderate_s3,10,3,moderate,3,ip,lp_optimal,7,21,215,30,185,0,1,0.0000,1,0.548000,0.003600,0.533700,1285.330603,1322.917485,2
lrsp_n010_f03_tight_s1,10,3,tight,1,ip,lp_optimal,6,18,148,30,118,0,1,0.0000,1,0.055200,0.002900,0.046300,1647.759741,1670.267056,3
lrsp_n010_f03_tight_s2,10,3,tight,2,ip,lp_optimal,8,24,221,30,191,0,1,0.0000,1,0.157900,0.003900,0.148900,1971.433985,1973.666963,3
lrsp_n010_f03_tight_s3,10,3,tight,3,ip,lp_optimal,5,15,151,30,121,0,1,0.0000,1,0.034500,0.003100,0.028400,1801.205049,1804.882336,3
