method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
ip,lrsp_n010_f05_easy_s2,10,5,,23.573000,23.551800,0.005800,9,400,861.078874,lp_optimal,reached_optimality=1,easy,2,800.552598,0
ip,lrsp_n010_f05_easy_s3,10,5,,12.503000,12.485800,0.005900,10,678,1148.323236,lp_optimal,reached_optimality=1,easy,3,1148.323236,5
ip,lrsp_n010_f05_moderate_s1,10,5,,1.020900,1.009900,0.004500,9,450,1473.000787,lp_optimal,reached_optimality=1,moderate,1,1464.379038,1
ip,lrsp_n010_f05_moderate_s2,10,5,,0.121000,0.107000,0.003300,5,261,1096.442243,lp_optimal,reached_optimality=1,moderate,2,1066.195184,0
ip,lrsp_n010_f05_moderate_s3,10,5,,0.687700,0.657000,0.003700,6,331,1704.808318,lp_optimal,reached_optimality=1,moderate,3,1653.444628,0
ip,lrsp_n010_f05_tight_s1,10,5,,0.149900,0.077600,0.003200,7,255,2130.764364,lp_optimal,reached_optimality=1,tight,1,1988.301195,0
dp,lrsp_n010_f05_tight_s2,10,5,,0.008200,0.002000,0.002700,3,102,1364.344673,lp_optimal,reached_optimality=1,tight,2,1334.296287,0
ip,lrsp_n010_f05_tight_s2,10,5,,0.006100,0.001200,0.002200,3,102,1364.344673,lp_optimal,reached_optimality=1,tight,2,1334.296287,0
ip,lrsp_n010_f05_tight_s3,10,5,,0.143200,0.054900,0.003100,7,297,2265.674172,lp_optimal,reached_optimality=1,tight,3,2169.262862,0
ip,lrsp_n012_f03_easy_s1,12,3,,33.944900,33.940900,0.002000,1,85,766.984897,time_limit,reached_optimality=0,easy,1,766.984897,1
ip,lrsp_n012_f03_moderate_s1,12,3,,1.080200,1.072100,0.003800,8,281,1115.777805,lp_optimal,reached_optimality=1,moderate,1,1113.116671,0
ip,lrsp_n012_f03_moderate_s2,12,3,,6.600700,6.587700,0.004800,9,305,977.342756,lp_optimal,reached_optimality=1,moderate,2,972.923143,0
ip,lrsp_n012_f03_moderate_s3,12,3,,1.684200,1.657300,0.004200,8,316,1352.810714,lp_optimal,reached_optimality=1,moderate,3,1296.740540,0
ip,lrsp_n012_f03_tight_s1,12,3,,0.023800,0.018900,0.002400,5,120,1599.440259,lp_optimal,reached_optimality=1,tight,1,1595.749793,0
ip,lrsp_n012_f03_tight_s2,12,3,,0.092000,0.085600,0.002500,5,143,1291.010789,lp_optimal,reached_optimality=1,tight,2,1260.257879,0
ip,lrsp_n012_f03_tight_s3,12,3,,0.079000,0.055400,0.002800,6,157,1931.058318,lp_optimal,reached_optimality=1,tight,3,1865.221886,0
ip,lrsp_n012_f04_moderate_s1,12,4,,2.439000,1.377900,0.004900,8,372,1171.489489,lp_optimal,reached_optimality=1,moderate,1,1058.094215,0
ip,lrsp_n012_f04_moderate_s2,12,4,,13.756300,9.836700,0.008400,12,472,1184.953083,lp_optimal,reached_optimality=1,moderate,2,961.543128,0
ip,lrsp_n012_f04_moderate_s3,12,4,,5.250000,4.851100,0.011300,9,441,1427.855133,lp_optimal,reached_optimality=1,moderate,3,1267.417474,0
ip,lrsp_n012_f04_tight_s1,12,4,,1.418000,0.045200,0.006400,5,164,1665.115667,lp_optimal,reached_optimality=1,tight,1,1460.016491,0
ip,lrsp_n012_f04_tight_s2,12,4,,0.512000,0.321200,0.006900,6,209,1395.946072,lp_optimal,reached_optimality=1,tight,2,1249.021520,0
ip,lrsp_n012_f04_tight_s3,12,4,,0.193400,0.127700,0.005300,6,199,1852.543772,lp_optimal,reached_optimality=1,tight,3,1792.999674,0
ip,lrsp_n012_f06_moderate_s1,12,6,,8.270900,4.452800,0.012900,9,533,1526.891281,lp_optimal,reached_optimality=1,moderate,1,1278.739004,0
ip,lrsp_n012_f06_moderate_s2,12,6,,23.028800,20.061400,0.010400,8,535,1312.442498,lp_optimal,reached_optimality=1,moderate,2,1104.475332,0
ip,lrsp_n012_f06_moderate_s3,12,6,,5.765200,5.723500,0.009000,7,498,1537.627849,lp_optimal,reached_optimality=1,moderate,3,1534.177417,0
ip,lrsp_n012_f06_tight_s1,12,6,,0.117000,0.101000,0.006700,6,223,1950.158652,lp_optimal,reached_optimality=1,tight,1,1946.285445,0
ip,lrsp_n012_f06_tight_s2,12,6,,0.387400,0.357700,0.006300,5,300,1656.438687,lp_optimal,reached_optimality=1,tight,2,1635.470580,0
ip,lrsp_n012_f06_tight_s3,12,6,,0.440800,0.186200,0.007500,7,269,2034.671031,lp_optimal,reached_optimality=1,tight,3,1922.055346,0
ip,lrsp_n015_f03_moderate_s1,15,3,,26.763700,26.703700,0.012300,12,368,1457.499594,lp_optimal,reached_optimality=1,moderate,1,1415.017847,0
ip,lrsp_n015_f03_moderate_s3,15,3,,20.804500,20.767600,0.013100,11,391,1261.958489,lp_optimal,reached_optimality=1,moderate,3,1240.890051,0
ip,lrsp_n015_f03_tight_s1,15,3,,0.389900,0.370800,0.007200,7,252,2006.012399,lp_optimal,reached_optimality=1,tight,1,1985.655617,0
ip,lrsp_n015_f03_tight_s2,15,3,,2.864900,2.804700,0.009600,7,292,1603.757541,lp_optimal,reached_optimality=1,tight,2,1581.844295,0
ip,lrsp_n015_f03_tight_s3,15,3,,0.262400,0.248900,0.006700,5,191,1690.247732,lp_optimal,reached_optimality=1,tight,3,1690.247732,0
ip,lrsp_n015_f05_moderate_s1,15,5,,23.401100,23.349200,0.011600,9,497,1527.999118,lp_optimal,reached_optimality=1,moderate,1,1512.285319,0
ip,lrsp_n015_f05_moderate_s3,15,5,,31.884100,31.493400,0.016300,9,550,1459.490517,lp_optimal,reached_optimality=1,moderate,3,1404.397511,0
ip,lrsp_n015_f05_tight_s1,15,5,,0.332800,0.269300,0.010200,7,309,2068.470420,lp_optimal,reached_optimality=1,tight,1,2019.543160,0
ip,lrsp_n015_f05_tight_s2,15,5,,2.585100,2.207900,0.009600,7,333,1644.692080,lp_optimal,reached_optimality=1,tight,2,1579.341737,0
ip,lrsp_n015_f05_tight_s3,15,5,,0.336200,0.322200,0.006800,5,248,1778.325617,lp_optimal,reached_optimality=1,tight,3,1778.325617,0
ip,lrsp_n015_f08_moderate_s1,15,8,,19.409300,10.740900,0.016300,9,668,1692.336779,lp_optimal,reached_optimality=1,moderate,1,1429.013922,0
ip,lrsp_n015_f08_moderate_s3,15,8,,33.087100,33.050400,0.013400,7,756,1718.806786,time_limit,reached_optimality=0,moderate,3,1718.806786,0
dp,lrsp_n015_f08_tight_s1,15,8,,0.621900,0.095300,0.008300,5,289,2218.242533,lp_optimal,reached_optimality=1,tight,1,2082.322664,0
ip,lrsp_n015_f08_tight_s1,15,8,,0.565900,0.079200,0.010400,5,289,2218.242533,lp_optimal,reached_optimality=1,tight,1,2082.322664,0
ip,lrsp_n015_f08_tight_s2,15,8,,0.830400,0.798400,0.007300,6,454,1718.147055,lp_optimal,reached_optimality=1,tight,2,1637.360542,0
ip,lrsp_n015_f08_tight_s3,15,8,,1.251400,0.412300,0.008000,6,405,2157.226490,lp_optimal,reached_optimality=1,tight,3,2047.363807,0
ip,lrsp_n020_f04_moderate_s1,20,4,,31.036000,30.990100,0.013700,8,499,1581.774979,time_limit,reached_optimality=0,moderate,1,1564.104137,0
dp,lrsp_n020_f04_tight_s1,20,4,,0.160100,0.116100,0.007000,8,254,1786.623399,lp_optimal,reached_optimality=1,tight,1,1766.747779,0
ip,lrsp_n020_f04_tight_s1,20,4,,0.152800,0.104400,0.006600,8,254,1786.623399,lp_optimal,reached_optimality=1,tight,1,1766.747779,0
ip,lrsp_n020_f04_tight_s2,20,4,,2.946100,2.067900,0.011600,8,377,1624.053431,lp_optimal,reached_optimality=1,tight,2,1547.419150,0
ip,lrsp_n020_f04_tight_s3,20,4,,1.948000,1.352300,0.010500,9,314,1674.184780,lp_optimal,reached_optimality=1,tight,3,1626.700378,0
ip,lrsp_n020_f06_moderate_s1,20,6,,37.054200,32.213500,0.010000,3,408,1814.741555,time_limit,reached_optimality=0,moderate,1,1574.172545,0
dp,lrsp_n020_f06_tight_s1,20,6,,0.210400,0.178600,0.007000,7,366,1960.124286,lp_optimal,reached_optimality=1,tight,1,1947.255890,0
