method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
ip,lrsp_n008_f02_moderate_s3,8,2,,0.152500,0.141300,0.004700,6,140,955.703586,lp_optimal,reached_optimality=1,moderate,3,914.000707,0
dp,lrsp_n008_f02_tight_s1,8,2,,6.149400,6.140600,0.004600,6,88,1650.541539,lp_optimal,reached_optimality=1,tight,1,1649.515591,0
ip,lrsp_n008_f02_tight_s1,8,2,,0.030800,0.021900,0.005300,6,88,1650.541539,lp_optimal,reached_optimality=1,tight,1,1649.515591,0
dp,lrsp_n008_f02_tight_s2,8,2,,15.935400,15.926700,0.004500,5,97,1274.684591,lp_optimal,reached_optimality=1,tight,2,1274.684591,0
ip,lrsp_n008_f02_tight_s2,8,2,,0.033200,0.025700,0.004300,5,97,1274.684591,lp_optimal,reached_optimality=1,tight,2,1274.684591,0
dp,lrsp_n008_f02_tight_s3,8,2,,8.358700,8.349200,0.004200,5,76,1446.494172,lp_optimal,reached_optimality=1,tight,3,1422.824244,0
ip,lrsp_n008_f02_tight_s3,8,2,,0.023100,0.014700,0.003600,5,76,1446.494172,lp_optimal,reached_optimality=1,tight,3,1422.824244,0
ip,lrsp_n009_f03_easy_s1,9,3,,4.451600,4.431000,0.009800,11,340,657.158292,lp_optimal,reached_optimality=1,easy,1,657.158292,3
ip,lrsp_n009_f03_easy_s2,9,3,,10.383500,10.350700,0.008600,10,302,680.907332,lp_optimal,reached_optimality=1,easy,2,646.755153,3
ip,lrsp_n009_f03_easy_s3,9,3,,4.981400,4.953900,0.009200,10,301,765.495990,lp_optimal,reached_optimality=1,easy,3,752.900704,3
ip,lrsp_n009_f03_moderate_s1,9,3,,0.342500,0.331000,0.005500,7,182,989.589767,lp_optimal,reached_optimality=1,moderate,1,984.274907,0
ip,lrsp_n009_f03_moderate_s2,9,3,,0.742600,0.729800,0.005200,6,197,1001.357593,lp_optimal,reached_optimality=1,moderate,2,972.727933,0
ip,lrsp_n009_f03_moderate_s3,9,3,,0.413000,0.278900,0.005000,6,192,1200.491571,lp_optimal,reached_optimality=1,moderate,3,1139.495361,0
dp,lrsp_n009_f03_tight_s1,9,3,,31.878900,31.869800,0.004200,4,106,1366.730211,lp_optimal,reached_optimality=1,tight,1,1359.215127,0
ip,lrsp_n009_f03_tight_s1,9,3,,0.031000,0.022600,0.004100,4,106,1366.730211,lp_optimal,reached_optimality=1,tight,1,1359.215127,0
dp,lrsp_n009_f03_tight_s2,9,3,,131.108300,131.098800,0.004700,4,111,1369.282981,lp_optimal,reached_optimality=1,tight,2,1359.582735,0
ip,lrsp_n009_f03_tight_s2,9,3,,0.038900,0.028600,0.006300,4,111,1369.282981,lp_optimal,reached_optimality=1,tight,2,1359.582735,0
dp,lrsp_n009_f03_tight_s3,9,3,,214.080800,214.069800,0.004200,4,93,1517.968289,lp_optimal,reached_optimality=1,tight,3,1512.148786,0
ip,lrsp_n009_f03_tight_s3,9,3,,0.031000,0.021400,0.003700,4,93,1517.968289,lp_optimal,reached_optimality=1,tight,3,1512.148786,0
ip,lrsp_n010_f03_easy_s1,10,3,,14.882500,14.866200,0.007200,11,365,719.199554,lp_optimal,reached_optimality=1,easy,1,719.199554,3
ip,lrsp_n010_f03_easy_s2,10,3,,34.563700,34.535500,0.010800,12,418,899.512180,lp_optimal,reached_optimality=1,easy,2,852.613272,3
ip,lrsp_n010_f03_easy_s3,10,3,,9.511000,9.498700,0.006100,10,302,815.121385,lp_optimal,reached_optimality=1,easy,3,815.121385,3
ip,lrsp_n010_f03_moderate_s1,10,3,,0.616400,0.608200,0.003900,8,254,1149.825276,lp_optimal,reached_optimality=1,moderate,1,1140.010978,1
ip,lrsp_n010_f03_moderate_s2,10,3,,3.071000,3.020800,0.005000,8,289,1442.861816,lp_optimal,reached_optimality=1,moderate,2,1397.602617,0
ip,lrsp_n010_f03_moderate_s3,10,3,,0.548000,0.533700,0.003600,7,215,1322.917485,lp_optimal,reached_optimality=1,moderate,3,1285.330603,0
ip,lrsp_n010_f03_tight_s1,10,3,,0.055200,0.046300,0.002900,6,148,1670.267056,lp_optimal,reached_optimality=1,tight,1,1647.759741,0
ip,lrsp_n010_f03_tight_s2,10,3,,0.157900,0.148900,0.003900,8,221,1973.666963,lp_optimal,reached_optimality=1,tight,2,1971.433985,0
ip,lrsp_n010_f03_tight_s3,10,3,,0.034500,0.028400,0.003100,5,151,1804.882336,lp_optimal,reached_optimality=1,tight,3,1801.205049,0
ip,lrsp_n011_f03_easy_s1,11,3,,51.509700,51.491400,0.008000,13,453,857.480674,lp_optimal,reached_optimality=1,easy,1,857.480674,4
ip,lrsp_n011_f03_easy_s2,11,3,,121.943100,121.911900,0.009900,13,492,715.626354,lp_optimal,reached_optimality=1,easy,2,703.075625,3
ip,lrsp_n011_f03_easy_s3,11,3,,43.176900,43.159600,0.008000,13,429,826.917581,lp_optimal,reached_optimality=1,easy,3,826.917581,3
ip,lrsp_n011_f03_moderate_s1,11,3,,1.437000,1.425000,0.005600,11,371,1332.979279,lp_optimal,reached_optimality=1,moderate,1,1332.979279,0
ip,lrsp_n011_f03_moderate_s2,11,3,,5.246100,5.214600,0.005200,8,277,1141.565316,lp_optimal,reached_optimality=1,moderate,2,1061.264289,0
ip,lrsp_n011_f03_moderate_s3,11,3,,1.166200,1.053800,0.004900,8,270,1401.888868,lp_optimal,reached_optimality=1,moderate,3,1336.847110,0
ip,lrsp_n011_f03_tight_s1,11,3,,0.063600,0.056600,0.003300,7,170,1955.729143,lp_optimal,reached_optimality=1,tight,1,1911.972101,0
ip,lrsp_n011_f03_tight_s2,11,3,,0.094500,0.088400,0.003100,5,152,1452.930987,lp_optimal,reached_optimality=1,tight,2,1451.700016,0
ip,lrsp_n011_f03_tight_s3,11,3,,0.049500,0.042500,0.003000,6,197,1845.752926,lp_optimal,reached_optimality=1,tight,3,1841.153035,0
ip,lrsp_n012_f04_easy_s1,12,4,,120.786800,120.748200,0.007100,10,505,986.501055,lp_optimal,reached_optimality=1,easy,1,938.472595,1
ip,lrsp_n012_f04_easy_s2,12,4,,349.941200,349.888400,0.010800,12,587,888.397098,lp_optimal,reached_optimality=1,easy,2,866.410429,4
ip,lrsp_n012_f04_easy_s3,12,4,,149.367300,149.338000,0.008100,11,526,1162.170330,lp_optimal,reached_optimality=1,easy,3,1151.903834,3
ip,lrsp_n012_f04_moderate_s1,12,4,,2.544900,1.404600,0.005200,8,372,1171.489489,lp_optimal,reached_optimality=1,moderate,1,1058.094215,0
ip,lrsp_n012_f04_moderate_s2,12,4,,11.742900,9.709100,0.008800,12,472,1184.953083,lp_optimal,reached_optimality=1,moderate,2,961.543128,0
ip,lrsp_n012_f04_moderate_s3,12,4,,2.661600,2.416300,0.006000,9,441,1427.855133,lp_optimal,reached_optimality=1,moderate,3,1267.417474,0
ip,lrsp_n012_f04_tight_s1,12,4,,0.656100,0.021000,0.003100,5,164,1665.115667,lp_optimal,reached_optimality=1,tight,1,1460.016491,0
ip,lrsp_n012_f04_tight_s2,12,4,,0.229900,0.143300,0.003300,6,209,1395.946072,lp_optimal,reached_optimality=1,tight,2,1249.021520,0
ip,lrsp_n012_f04_tight_s3,12,4,,0.106400,0.070500,0.003300,6,199,1852.543772,lp_optimal,reached_optimality=1,tight,3,1792.999674,0
ip,lrsp_n013_f04_easy_s1,13,4,,536.206200,536.107600,0.008300,13,613,1066.916488,lp_optimal,reached_optimality=1,easy,1,1022.457651,2
ip,lrsp_n013_f04_moderate_s1,13,4,,6.628500,5.032100,0.005600,9,483,1428.677079,lp_optimal,reached_optimality=1,moderate,1,1133.993097,0
ip,lrsp_n013_f04_moderate_s2,13,4,,30.430200,28.739100,0.007000,10,443,1134.436445,lp_optimal,reached_optimality=1,moderate,2,903.781308,0
ip,lrsp_n013_f04_moderate_s3,13,4,,10.283500,9.330500,0.006600,11,496,1739.735130,lp_optimal,reached_optimality=1,moderate,3,1422.867004,0
ip,lrsp_n013_f04_tight_s1,13,4,,0.356700,0.153400,0.003600,6,272,1752.714932,lp_optimal,reached_optimality=1,tight,1,1655.156746,0
ip,lrsp_n013_f04_tight_s2,13,4,,0.251100,0.230900,0.003400,6,247,1275.412208,lp_optimal,reached_optimality=1,tight,2,1249.472041,0
ip,lrsp_n013_f04_tight_s3,13,4,,0.260000,0.080000,0.003000,6,218,2125.101026,lp_optimal,reached_optimality=1,tight,3,2003.826724,0
ip,lrsp_n014_f04_moderate_s1,14,4,,9.564000,9.535700,0.007400,11,501,1273.325885,lp_optimal,reached_optimality=1,moderate,1,1262.547736,0
ip,lrsp_n014_f04_moderate_s2,14,4,,122.153000,122.108400,0.007800,12,567,1613.609090,lp_optimal,reached_optimality=1,moderate,2,1579.413018,0
ip,lrsp_n014_f04_moderate_s3,14,4,,16.285800,16.258100,0.007300,10,476,1213.928254,lp_optimal,reached_optimality=1,moderate,3,1197.476360,0
ip,lrsp_n014_f04_tight_s1,14,4,,0.337200,0.300600,0.003400,7,258,1836.886150,lp_optimal,reached_optimality=1,tight,1,1783.636416,0
ip,lrsp_n014_f04_tight_s2,14,4,,1.415800,1.361800,0.005100,8,367,1834.433381,lp_optimal,reached_optimality=1,tight,2,1765.226410,0
