method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
dp,mespprc_n010_rep3,10,,,,,,,125,,infeasible,standalone_phase2; phase1_ms=5.063000,,22348,,
ip,mespprc_n010_rep3,10,,,0.006797,0.006797,,,125,404.607632788,feasible,standalone_phase2; phase1_ms=5.063000,,22348,,
dp,mespprc_n010_rep4,10,,,,,,,142,,infeasible,standalone_phase2; phase1_ms=4.733000,,22349,,
ip,mespprc_n010_rep4,10,,,0.004597,0.004597,,,142,476.225129125,feasible,standalone_phase2; phase1_ms=4.733000,,22349,,
dp,mespprc_n011_rep0,11,,,,,,,164,,infeasible,standalone_phase2; phase1_ms=7.073300,,23345,,
ip,mespprc_n011_rep0,11,,,0.011298,0.011298,,,164,548.459162193,feasible,standalone_phase2; phase1_ms=7.073300,,23345,,
dp,mespprc_n011_rep1,11,,,,,,,273,,infeasible,standalone_phase2; phase1_ms=6.995200,,23346,,
ip,mespprc_n011_rep1,11,,,0.007384,0.007384,,,273,546.389041368,feasible,standalone_phase2; phase1_ms=6.995200,,23346,,
dp,mespprc_n011_rep2,11,,,,,,,212,,infeasible,standalone_phase2; phase1_ms=6.857500,,23347,,
ip,mespprc_n011_rep2,11,,,0.006882,0.006882,,,212,474.837234893,feasible,standalone_phase2; phase1_ms=6.857500,,23347,,
dp,mespprc_n011_rep3,11,,,,,,,237,,infeasible,standalone_phase2; phase1_ms=6.704300,,23348,,
ip,mespprc_n011_rep3,11,,,0.015553,0.015553,,,237,590.565827120,feasible,standalone_phase2; phase1_ms=6.704300,,23348,,
dp,mespprc_n011_rep4,11,,,,,,,99,,infeasible,standalone_phase2; phase1_ms=6.840700,,23349,,
ip,mespprc_n011_rep4,11,,,0.002509,0.002509,,,99,456.135942633,feasible,standalone_phase2; phase1_ms=6.840700,,23349,,
dp,mespprc_n012_rep0,12,,,,,,,117,,infeasible,standalone_phase2; phase1_ms=12.152600,,24345,,
ip,mespprc_n012_rep0,12,,,0.006493,0.006493,,,117,563.080979857,feasible,standalone_phase2; phase1_ms=12.152600,,24345,,
dp,mespprc_n012_rep1,12,,,,,,,382,,infeasible,standalone_phase2; phase1_ms=17.172300,,24346,,
ip,mespprc_n012_rep1,12,,,0.030902,0.030902,,,382,587.810008410,feasible,standalone_phase2; phase1_ms=17.172300,,24346,,
dp,mespprc_n012_rep2,12,,,,,,,121,,infeasible,standalone_phase2; phase1_ms=9.954400,,24347,,
ip,mespprc_n012_rep2,12,,,0.010792,0.010792,,,121,461.267780520,feasible,standalone_phase2; phase1_ms=9.954400,,24347,,
dp,mespprc_n012_rep3,12,,,,,,,303,,infeasible,standalone_phase2; phase1_ms=14.570800,,24348,,
ip,mespprc_n012_rep3,12,,,0.037824,0.037824,,,303,652.796374383,feasible,standalone_phase2; phase1_ms=14.570800,,24348,,
dp,mespprc_n012_rep4,12,,,,,,,163,,infeasible,standalone_phase2; phase1_ms=11.055700,,24349,,
ip,mespprc_n012_rep4,12,,,0.005438,0.005438,,,163,434.704577631,feasible,standalone_phase2; phase1_ms=11.055700,,24349,,
