method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
dp,lrsp_n027_f09_tight_s3,27,9,,0.305300,0.152700,0.005900,7,405,2253.427600,lp_optimal,reached_optimality=1,tight,3,2126.751507,0
ip,lrsp_n027_f09_tight_s3,27,9,,0.302100,0.149900,0.006000,7,405,2253.427600,lp_optimal,reached_optimality=1,tight,3,2126.751507,0
dp,lrsp_n028_f09_moderate_s2,28,9,,16.812000,16.129100,0.025700,11,1012,1679.199231,lp_optimal,reached_optimality=1,moderate,2,1557.023920,0
ip,lrsp_n028_f09_moderate_s2,28,9,,16.303300,15.591100,0.027100,11,1012,1679.199231,lp_optimal,reached_optimality=1,moderate,2,1557.023920,0
ip,lrsp_n028_f09_tight_s1,28,9,,5.889800,4.251300,0.007400,7,644,2434.765273,lp_optimal,reached_optimality=1,tight,1,2296.421354,0
dp,lrsp_n028_f09_tight_s2,28,9,,1.043800,0.046600,0.005600,6,417,2250.840035,lp_optimal,reached_optimality=1,tight,2,2114.288807,0
ip,lrsp_n028_f09_tight_s2,28,9,,1.037600,0.046600,0.005500,6,417,2250.840035,lp_optimal,reached_optimality=1,tight,2,2114.288807,0
ip,lrsp_n028_f09_tight_s3,28,9,,9.303900,9.162600,0.011300,9,741,2346.025480,lp_optimal,reached_optimality=1,tight,3,2283.291822,0
dp,lrsp_n029_f09_tight_s1,29,9,,0.999800,0.486100,0.007700,7,571,2189.020376,lp_optimal,reached_optimality=1,tight,1,2112.884226,0
ip,lrsp_n029_f09_tight_s1,29,9,,0.971600,0.463400,0.007500,7,571,2189.020376,lp_optimal,reached_optimality=1,tight,1,2112.884226,0
dp,lrsp_n029_f09_tight_s2,29,9,,0.626000,0.294300,0.007900,7,559,2181.040860,lp_optimal,reached_optimality=1,tight,2,2053.832762,0
ip,lrsp_n029_f09_tight_s2,29,9,,0.614200,0.285400,0.008200,7,559,2181.040860,lp_optimal,reached_optimality=1,tight,2,2053.832762,0
ip,lrsp_n029_f09_tight_s3,29,9,,39.537500,38.973300,0.003700,1,402,2934.339581,time_limit,reached_optimality=0,tight,3,2850.403680,0
ip,lrsp_n030_f10_tight_s1,30,10,,25.739100,24.955400,0.010300,8,889,2581.306833,lp_optimal,reached_optimality=1,tight,1,2424.007579,0
dp,lrsp_n030_f10_tight_s2,30,10,,1.066900,0.534300,0.010600,8,711,2495.974586,lp_optimal,reached_optimality=1,tight,2,2377.762223,0
ip,lrsp_n030_f10_tight_s2,30,10,,1.046300,0.512600,0.010600,8,711,2495.974586,lp_optimal,reached_optimality=1,tight,2,2377.762223,0
dp,lrsp_n030_f10_tight_s3,30,10,,0.408300,0.231800,0.007300,6,501,2233.892837,lp_optimal,reached_optimality=1,tight,3,2145.605509,0
ip,lrsp_n030_f10_tight_s3,30,10,,0.402600,0.225800,0.007400,6,501,2233.892837,lp_optimal,reached_optimality=1,tight,3,2145.605509,0
