instance,n,f,regime,seed,bv_factor,bf_factor,gt_factor,total_demand,mean_demand,max_demand,std_demand,vehicle_capacity,vehicle_time_limit,vehicle_fixed_cost,mean_cust_nearest_fac_dist,max_cust_nearest_fac_dist,mean_cust_cust_dist,demand_to_capacity_ratio,max_singleton_round_trip,avg_singleton_round_trip,gt_slack,bv_slack,dp_completed,dp_total_seconds,dp_master_seconds,dp_pricing_seconds,dp_iterations,dp_pricing_calls,dp_total_columns,dp_phase1_route_columns,dp_phase2_pairing_columns,dp_max_routes_per_column,dp_avg_pool_per_call,dp_root_lp,dp_integer,ip_completed,ip_total_seconds,ip_master_seconds,ip_pricing_seconds,ip_iterations,ip_pricing_calls,ip_total_columns,ip_phase1_route_columns,ip_phase2_pairing_columns,ip_max_routes_per_column,ip_avg_pool_per_call,ip_root_lp,ip_integer,winner,dp_useful,ip_useful,speedup_ip_over_dp,log_speedup,avg_pool_per_call
lrsp_n006_f02_tight_s3,6,2,tight,3,1.7,1.4,1.7,118.0,19.666666666666668,27.0,4.784233364802441,45.9,292.390469657716,42.265434,42.26543432387131,85.99719695815176,57.63355308651878,0.7108433734939759,171.99439391630352,84.53086864774262,1.7,1.7,1,0.023600,0.005000,0.016500,4,8,57,45,0,1,7.1250,1374.694261,1378.811440,0,,,,,,,,,,,,,dp_only,1,0,,,7.1250
lrsp_n007_f02_easy_s1,7,2,easy,1,4.0,3.0,4.0,155.0,22.142857142857142,30.0,9.171829096728299,120.0,552.2495260397566,36.053448,36.05344817362431,69.03119075496957,48.813103750383,0.33405172413793105,138.06238150993914,72.10689634724862,4.0,4.0,1,14.025900,0.003800,14.016000,9,18,145,129,2,2,8.0556,716.685933,750.214877,1,0.276000,0.003200,0.267100,8,16,146,130,2,2,9.1250,716.685933,750.214877,ip,0,1,50.818478,1.7060,9.1250
lrsp_n007_f02_easy_s2,7,2,easy,2,4.0,3.0,4.0,94.0,13.428571428571429,21.0,5.7534373044577904,84.0,542.7386899914206,40.302224,40.30222430963446,67.84233624892758,57.62545293834022,0.3333333333333333,135.68467249785516,80.60444861926892,4.0,4.0,1,9.643800,0.003200,9.636100,7,14,123,107,2,2,8.7857,746.681146,787.824304,1,0.244900,0.002800,0.238000,7,14,123,107,2,2,8.7857,746.681146,787.824304,ip,0,1,39.378522,1.5953,8.7857
lrsp_n007_f02_easy_s3,7,2,easy,3,4.0,3.0,4.0,139.0,19.857142857142858,27.0,4.453844933748542,108.0,638.3728099088787,53.400965,53.40096517987394,79.79660123860984,56.2400019488117,0.33413461538461536,159.59320247721968,106.80193035974789,4.0,4.0,1,9.773100,0.003200,9.764500,6,12,137,121,2,2,11.4167,946.880828,961.352764,1,0.204700,0.002900,0.196800,6,12,137,121,2,2,11.4167,946.880828,961.352764,ip,0,1,47.743527,1.6789,11.4167
lrsp_n007_f02_moderate_s1,7,2,moderate,1,2.5,2.0,2.5,155.0,22.142857142857142,30.0,9.171829096728299,75.0,345.15595377484783,36.053448,36.05344817362431,69.03119075496957,48.813103750383,0.5,138.06238150993914,72.10689634724862,2.5,2.5,1,4.441400,0.003100,4.433400,7,14,126,112,0,1,9.0000,831.816691,888.767843,1,0.071600,0.002700,0.064400,7,14,126,112,0,1,9.0000,831.816691,888.767843,ip,0,1,62.030726,1.7926,9.0000
lrsp_n007_f02_moderate_s2,7,2,moderate,2,2.5,2.0,2.5,94.0,13.428571428571429,21.0,5.7534373044577904,52.5,339.21168124463793,40.302224,40.30222430963446,67.84233624892758,57.62545293834022,0.5,135.68467249785516,80.60444861926892,2.5,2.5,1,5.513800,0.003300,5.507800,7,14,149,135,0,1,10.6429,823.916555,823.916555,1,0.067900,0.002900,0.062700,7,14,149,135,0,1,10.6429,823.916555,823.916555,ip,0,1,81.204713,1.9096,10.6429
lrsp_n007_f02_moderate_s3,7,2,moderate,3,2.5,2.0,2.5,139.0,19.857142857142858,27.0,4.453844933748542,67.5,398.98300619304916,53.400965,53.40096517987394,79.79660123860984,56.2400019488117,0.5,159.59320247721968,106.80193035974789,2.5,2.5,1,2.741000,0.002900,2.732500,5,10,110,96,0,1,11.0000,1090.605556,1138.916863,1,0.054100,0.002500,0.046400,5,10,110,96,0,1,11.0000,1090.605556,1138.916863,ip,0,1,50.665434,1.7047,11.0000
lrsp_n007_f02_tight_s1,7,2,tight,1,1.7,1.4,1.7,155.0,22.142857142857142,30.0,9.171829096728299,51.0,234.70604856689653,36.053448,36.05344817362431,69.03119075496957,48.813103750383,0.7175925925925926,138.06238150993914,72.10689634724862,1.7,1.7,1,0.149100,0.002400,0.145000,5,10,82,68,0,1,8.2000,1207.368395,1207.368395,1,0.013500,0.002400,0.009400,5,10,82,68,0,1,8.2000,1207.368395,1207.368395,ip,0,1,11.044444,1.0431,8.2000
lrsp_n007_f02_tight_s2,7,2,tight,2,1.7,1.4,1.7,94.0,13.428571428571429,21.0,5.7534373044577904,35.699999999999996,230.66394324635377,40.302224,40.30222430963446,67.84233624892758,57.62545293834022,0.7121212121212122,135.68467249785516,80.60444861926892,1.7,1.6999999999999997,1,0.399800,0.002300,0.393100,5,10,73,59,0,1,7.3000,1271.649258,1280.941849,1,0.015400,0.002200,0.010900,5,10,73,59,0,1,7.3000,1271.649258,1280.941849,ip,0,1,25.961039,1.4143,7.3000
lrsp_n007_f02_tight_s3,7,2,tight,3,1.7,1.4,1.7,139.0,19.857142857142858,27.0,4.453844933748542,45.9,271.30844421127347,53.400965,53.40096517987394,79.79660123860984,56.2400019488117,0.7164948453608248,159.59320247721968,106.80193035974789,1.7000000000000002,1.7,1,0.174600,0.002100,0.170900,4,8,60,46,0,1,7.5000,1775.047301,1775.047301,1,0.013300,0.002000,0.009900,4,8,60,46,0,1,7.5000,1775.047301,1775.047301,ip,0,1,13.127820,1.1182,7.5000
lrsp_n008_f02_easy_s1,8,2,easy,1,4.0,3.0,4.0,177.0,22.125,30.0,8.57959060794861,120.0,684.8441189181336,48.093524,48.09352362755998,85.6055148647667,53.26609969394837,0.33270676691729323,171.2110297295334,96.18704725511996,4.0,4.0,0,,,,,,,,,,,,,1,0.772600,0.003200,0.764700,8,16,133,115,2,2,8.3125,903.457946,943.297575,ip_only,0,1,,,8.3125
lrsp_n008_f02_easy_s2,8,2,easy,2,4.0,3.0,4.0,99.0,12.375,21.0,6.0608889612003285,84.0,551.5021121455345,39.262372,39.26237191559925,68.93776401819181,56.376313187057015,0.3344594594594595,137.87552803638363,78.5247438311985,4.0,4.0,0,,,,,,,,,,,,,1,0.897600,0.003100,0.889600,6,12,157,139,2,2,13.0833,754.999626,778.943466,ip_only,0,1,,,13.0833
lrsp_n008_f02_easy_s3,8,2,easy,3,4.0,3.0,4.0,168.0,21.0,29.0,5.1478150704935,116.0,479.4837252083583,40.77523,40.77522973036076,59.93546565104479,57.84638402695523,0.3333333333333333,119.87093130208957,81.55045946072153,4.0,4.0,0,,,,,,,,,,,,,1,0.696300,0.003900,0.688700,8,16,173,155,2,2,10.8125,807.954734,807.954734,ip_only,0,1,,,10.8125
lrsp_n008_f02_moderate_s1,8,2,moderate,1,2.5,2.0,2.5,177.0,22.125,30.0,8.57959060794861,75.0,428.0275743238335,48.093524,48.09352362755998,85.6055148647667,53.26609969394837,0.5,171.2110297295334,96.18704725511996,2.5,2.5,1,30.837500,0.002000,30.834000,1,2,49,32,1,3,24.5000,1047.109269,1047.109269,1,0.107900,0.002900,0.102600,8,16,146,129,1,3,9.1250,1047.109269,1047.109269,ip,0,1,285.797034,2.4561,9.1250
lrsp_n008_f02_moderate_s2,8,2,moderate,2,2.5,2.0,2.5,99.0,12.375,21.0,6.0608889612003285,52.5,344.6888200909591,39.262372,39.26237191559925,68.93776401819181,56.376313187057015,0.5,137.87552803638363,78.5247438311985,2.5,2.5,0,,,,,,,,,,,,,1,0.185100,0.002900,0.179800,7,14,145,129,0,1,10.3571,832.041328,832.041328,ip_only,0,1,,,10.3571
lrsp_n008_f02_moderate_s3,8,2,moderate,3,2.5,2.0,2.5,168.0,21.0,29.0,5.1478150704935,72.5,299.6773282552239,40.77523,40.77522973036076,59.93546565104479,57.84638402695523,0.5,119.87093130208957,81.55045946072153,2.5,2.5,0,,,,,,,,,,,,,1,0.088700,0.002800,0.082000,6,12,140,124,0,1,11.6667,914.000707,955.703586,ip_only,0,1,,,11.6667
lrsp_n008_f02_tight_s1,8,2,tight,1,1.7,1.4,1.7,177.0,22.125,30.0,8.57959060794861,51.0,291.0587505402068,48.093524,48.09352362755998,85.6055148647667,53.26609969394837,0.7137096774193549,171.2110297295334,96.18704725511996,1.7,1.7,1,3.433700,0.002800,3.428600,6,12,88,72,0,1,7.3333,1649.515591,1650.541539,1,0.017500,0.002500,0.013000,6,12,88,72,0,1,7.3333,1649.515591,1650.541539,ip,0,1,196.211429,2.2927,7.3333
lrsp_n008_f02_tight_s2,8,2,tight,2,1.7,1.4,1.7,99.0,12.375,21.0,6.0608889612003285,35.699999999999996,234.38839766185217,39.262372,39.26237191559925,68.93776401819181,56.376313187057015,0.717391304347826,137.87552803638363,78.5247438311985,1.7,1.6999999999999997,1,8.684900,0.002600,8.680100,5,10,97,81,0,1,9.7000,1274.684591,1274.684591,1,0.019300,0.002400,0.014800,5,10,97,81,0,1,9.7000,1274.684591,1274.684591,ip,0,1,449.994819,2.6532,9.7000
lrsp_n008_f02_tight_s3,8,2,tight,3,1.7,1.4,1.7,168.0,21.0,29.0,5.1478150704935,49.3,203.78058321355226,40.77523,40.77522973036076,59.93546565104479,57.84638402695523,0.711864406779661,119.87093130208957,81.55045946072153,1.7,1.7,1,4.662200,0.002400,4.656700,5,10,76,60,0,1,7.6000,1422.824244,1446.494172,1,0.014900,0.002100,0.010000,5,10,76,60,0,1,7.6000,1422.824244,1446.494172,ip,0,1,312.899329,2.4954,7.6000
lrsp_n009_f03_easy_s1,9,3,easy,1,4.0,3.0,4.0,203.0,22.555555555555557,30.0,8.18007214191376,120.0,403.0294411551496,28.58041,28.58041049200206,50.3786801443937,53.31669252635201,0.3333333333333333,100.7573602887874,57.16082098400412,4.0,4.0,0,,,,,,,,,,,,,1,2.503800,0.005400,2.492900,11,33,340,310,3,2,10.3030,657.158292,657.158292,ip_only,0,1,,,10.3030
